Game,Minutes,ScoreDiff,LeadingTeam
0041500407,39.2,0,Tied
0041500407,39.63333333333333,2,Team A
0041500407,39.916666666666664,-1,Team B
0041500407,40.266666666666666,1,Team A
0041500407,40.833333333333336,3,Team A
0041500407,42.06666666666666,1,Team A
0041500407,42.7,3,Team A
0041500407,43.11666666666667,0,Tied
0041500407,43.96666666666667,2,Team A
0041500407,45.1,4,Team A
0041500407,45.63333333333333,1,Team A
0041500407,46.21666666666667,-2,Team B
0041500407,46.61666666666667,-4,Team B
0041500407,47.083333333333336,-2,Team B
0041900405,0.0,-3,Team B
0041900405,0.01666666666666572,-2,Team B
0041900405,0.01666666666666572,-3,Team B
0041900405,0.2666666666666657,0,Tied
0041900405,0.2666666666666657,-1,Team B
0041900405,0.3500000000000014,1,Team A
0041900405,0.7666666666666657,0,Tied
0041900405,0.7666666666666657,-1,Team B
0041900405,0.9666666666666686,1,Team A
0041900405,1.2166666666666686,-1,Team B
0041900405,1.56666666666667,0,Tied
0041900405,1.56666666666667,1,Team A
0041900405,1.8500000000000014,-2,Team B
0041900405,2.866666666666667,-1,Team B
0041900405,2.866666666666667,0,Tied
0041900405,3.2666666666666657,-2,Team B
0041900405,4.149999999999999,1,Team A
0041900405,5.466666666666669,3,Team A
0041900405,6.333333333333336,1,Team A
0041900405,6.850000000000001,-3,Team B
0041900405,6.850000000000001,-2,Team B
0041900405,7.533333333333331,-4,Team B
0041900405,7.733333333333334,-6,Team B
0041900405,8.100000000000001,-4,Team B
0041900405,8.100000000000001,-3,Team B
0041900405,8.616666666666667,-5,Team B
0041900405,9.083333333333336,-8,Team B
0041900405,10.283333333333331,-8,Team B
0041900405,10.516666666666666,-10,Team B
0041900405,10.516666666666666,-11,Team B
0041900405,11.43333333333333,-9,Team B
0041900405,12.0,-6,Team B
0041900405,12.0,-6,Team B
0041900405,12.149999999999999,-6,Team B
0041900405,12.466666666666669,-5,Team B
0041900405,12.466666666666669,-4,Team B
0041900405,12.616666666666667,-5,Team B
0041900405,12.616666666666667,-6,Team B
0041900405,12.916666666666664,-3,Team B
0041900405,12.916666666666664,-2,Team B
0041900405,14.783333333333331,-4,Team B
0041900405,15.016666666666666,-4,Team B
0041900405,15.016666666666666,-5,Team B
0041900405,16.016666666666666,-1,Team B
0041900405,16.466666666666665,-3,Team B
0041900405,17.716666666666665,-5,Team B
0041900405,17.916666666666668,-8,Team B
0041900405,18.466666666666665,-6,Team B
0041900405,18.683333333333334,-2,Team B
0041900405,18.683333333333334,-2,Team B
0041900405,18.683333333333334,-3,Team B
0041900405,19.05,0,Tied
0041900405,20.233333333333334,-3,Team B
0041900405,20.483333333333334,-2,Team B
0041900405,20.483333333333334,-1,Team B
0041900405,20.816666666666666,-3,Team B
0041900405,21.083333333333332,-1,Team B
0041900405,21.366666666666667,-4,Team B
0041900405,21.75,-1,Team B
0041900405,22.433333333333334,-4,Team B
0041900405,23.15,-7,Team B
0041900405,24.0,-4,Team B
0041900405,24.0,-4,Team B
0041900405,24.016666666666666,-4,Team B
0041900405,24.433333333333334,-1,Team B
0041900405,24.7,-4,Team B
0041900405,24.9,-2,Team B
0041900405,24.9,-1,Team B
0041900405,25.266666666666666,-3,Team B
0041900405,25.5,-5,Team B
0041900405,25.7,-3,Team B
0041900405,25.9,-4,Team B
0041900405,25.9,-5,Team B
0041900405,26.066666666666666,-3,Team B
0041900405,26.533333333333335,-5,Team B
0041900405,26.883333333333333,-7,Team B
0041900405,27.4,-9,Team B
0041900405,27.683333333333334,-11,Team B
0041900405,27.983333333333334,-8,Team B
0041900405,27.983333333333334,-9,Team B
0041900405,28.266666666666666,-7,Team B
0041900405,29.0,-10,Team B
0041900405,29.766666666666666,-8,Team B
0041900405,30.083333333333332,-6,Team B
0041900405,30.55,-9,Team B
0041900405,31.016666666666666,-8,Team B
0041900405,32.3,-10,Team B
0041900405,32.3,-11,Team B
0041900405,32.5,-8,Team B
0041900405,32.766666666666666,-9,Team B
0041900405,33.2,-7,Team B
0041900405,33.4,-9,Team B
0041900405,33.85,-7,Team B
0041900405,34.78333333333333,-4,Team B
0041900405,35.03333333333333,-7,Team B
0041900405,35.416666666666664,-5,Team B
0041900405,35.766666666666666,-3,Team B
0041900405,36.0,-1,Team B
0041900405,36.0,-1,Team B
0041900405,36.63333333333333,-1,Team B
0041900405,36.88333333333333,-3,Team B
0041900405,37.46666666666667,0,Tied
0041900405,38.11666666666667,-2,Team B
0041900405,38.416666666666664,-4,Team B
0041900405,39.2,-2,Team B
0041900405,39.9,1,Team A
0041900405,40.016666666666666,4,Team A
0041900405,40.016666666666666,3,Team A
0041900405,41.1,5,Team A
0041900405,41.5,3,Team A
0041900405,42.06666666666666,5,Team A
0041900405,43.083333333333336,3,Team A
0041900405,43.4,1,Team A
0041900405,44.1,-2,Team B
0041900405,44.1,-1,Team B
0041900405,44.3,-4,Team B
0041900405,44.88333333333333,-1,Team B
0041900405,45.06666666666667,1,Team A
0041900405,45.6,-1,Team B
0041900405,45.983333333333334,1,Team A
0041900405,46.333333333333336,0,Tied
0041900405,46.333333333333336,-1,Team B
0041900405,47.1,1,Team A
0041900405,47.38333333333333,-2,Team B
