Player,Metric,Value,PerGame
Kareem Abdul-Jabbar*,2P,0.7534291982990324,10.15128205128205
Karl Malone*,2P,0.6237129956962186,9.107723577235772
Kobe Bryant,2P,0.4051231973079358,7.349182763744428
Michael Jordan*,2P,0.8379388467764519,10.83115671641791
Wilt Chamberlain*,2P,1.0,12.134928229665071
Dirk Nowitzki,2P,0.28592536536039237,6.390243902439025
LeBron James,2P,0.5408496495684748,8.441093308199811
Shaquille O'Neal*,2P,0.6583133499511863,9.386081193040596
Eddie Johnson,2P,0.21695471381892506,5.835379464285714
Moses Malone*,2P,0.373316909925717,7.0933032355154255
Elvin Hayes*,2P,0.5382029101494119,8.419800460475825
Hakeem Olajuwon*,2P,0.5683533302037063,8.662358642972537
Oscar Robertson*,2P,0.6280118636457201,9.142307692307693
Dominique Wilkins*,2P,0.5624075393730211,8.614525139664805
Tim Duncan,2P,0.40735005637509747,7.367097701149425
Paul Pierce,2P,0.0955300256856851,4.858525688756515
John Havlicek*,2P,0.5205709843470722,8.277952755905511
Kevin Garnett,2P,0.3699662595031279,7.066347469220246
Alex English*,2P,0.6003202682149027,8.919530595138307
Reggie Miller*,2P,0.0,4.089992800575954
Kareem Abdul-Jabbar*,3P,0.0003478064903846154,0.000641025641025641
Karl Malone*,3P,0.031246030233739838,0.05758807588075881
Kobe Bryant,3P,0.7364711993870728,1.3573551263001487
Michael Jordan*,3P,0.29406519647854473,0.5419776119402985
Wilt Chamberlain*,3P,0.0,0.0
Dirk Nowitzki,3P,0.6928185527259684,1.2769010043041606
LeBron James,3P,0.7501999145852968,1.3826578699340244
Shaquille O'Neal*,3P,0.0004495262013256006,0.0008285004142502071
Eddie Johnson,3P,0.2004390171595982,0.36941964285714285
Moses Malone*,3P,0.003266083521444695,0.006019563581640331
Elvin Hayes*,3P,0.002082034247889486,0.003837298541826554
Hakeem Olajuwon*,3P,0.010956747273828756,0.020193861066235864
Oscar Robertson*,3P,0.0,0.0
Dominique Wilkins*,3P,0.35919278107541897,0.6620111731843575
Tim Duncan,3P,0.011693494073275863,0.021551724137931036
Paul Pierce,3P,0.8657817735480269,1.5956813104988832
John Havlicek*,3P,0.0,0.0
Kevin Garnett,3P,0.0645749615253078,0.11901504787961696
Alex English*,3P,0.008186426026823134,0.015088013411567477
Reggie Miller*,3P,1.0,1.8430525557955364
Kareem Abdul-Jabbar*,AST,0.2791806907444768,3.628205128205128
Karl Malone*,AST,0.2702724681776637,3.5555555555555554
Kobe Bryant,AST,0.40876297731749195,4.684992570579495
Michael Jordan*,AST,0.4786155764953731,5.254664179104478
Wilt Chamberlain*,AST,0.3790977019460232,4.443062200956938
Dirk Nowitzki,AST,0.14180881669344703,2.5078909612625537
LeBron James,AST,0.6965563778252123,7.032045240339302
Shaquille O'Neal*,AST,0.14170474894495147,2.507042253521127
Eddie Johnson,AST,0.22924738961826224,3.220982142857143
Moses Malone*,AST,0.0,1.3513920240782544
Elvin Hayes*,AST,0.05995782295032264,1.8403683806600153
Hakeem Olajuwon*,AST,0.13717652895885873,2.470113085621971
Oscar Robertson*,AST,1.0,9.506730769230769
Dominique Wilkins*,AST,0.13992787081080466,2.492551210428305
Tim Duncan,AST,0.206467098175153,3.0352011494252875
Paul Pierce,AST,0.2641450656464898,3.505584512285927
John Havlicek*,AST,0.42460298860380985,4.814173228346457
Kevin Garnett,AST,0.29096991005193706,3.7243502051983586
Alex English*,AST,0.28149855921669575,3.647108130762783
Reggie Miller*,AST,0.199855520945803,2.9812814974802015
Kareem Abdul-Jabbar*,TRB,0.410838200702154,11.179487179487179
Karl Malone*,TRB,0.3586042936044724,10.140921409214092
Kobe Bryant,TRB,0.11189034078329468,5.235512630014859
Michael Jordan*,TRB,0.16159958601774044,6.223880597014926
Wilt Chamberlain*,TRB,1.0,22.89377990430622
Dirk Nowitzki,TRB,0.2415837268160959,7.814203730272597
LeBron James,TRB,0.2139067020569685,7.263901979264844
Shaquille O'Neal*,TRB,0.3943939734992573,10.852526926263463
Eddie Johnson,TRB,0.015145758662990455,3.3119419642857144
Moses Malone*,TRB,0.4620960292232703,12.198645598194132
Elvin Hayes*,TRB,0.4769243388073019,12.493476592478896
Hakeem Olajuwon*,TRB,0.40709232865153405,11.105008077544426
Oscar Robertson*,TRB,0.22597451912012326,7.503846153846154
Dominique Wilkins*,TRB,0.18429064844841136,6.6750465549348235
Tim Duncan,TRB,0.3938260861079667,10.841235632183908
Paul Pierce,TRB,0.13045415193635618,5.604616530156366
John Havlicek*,TRB,0.16566556653526124,6.304724409448819
Kevin Garnett,TRB,0.3529615964483456,10.028727770177838
Alex English*,TRB,0.12420183135438757,5.480301760268231
Reggie Miller*,TRB,0.0,3.0107991360691146
Kareem Abdul-Jabbar*,STL,0.3170756583644412,0.7435897435897436
Karl Malone*,STL,0.6023504149122637,1.4126016260162602
Kobe Bryant,STL,0.615858177859263,1.4442793462109955
Michael Jordan*,STL,1.0,2.345149253731343
Wilt Chamberlain*,STL,0.0,0.0
Dirk Nowitzki,STL,0.3542218098019812,0.830703012912482
LeBron James,STL,0.7029168231888231,1.648444863336475
Shaquille O'Neal*,STL,0.2610758377773779,0.6122618061309031
Eddie Johnson,STL,0.3440802932151381,0.8069196428571429
Moses Malone*,STL,0.34940765123884127,0.8194130925507901
Elvin Hayes*,STL,0.28274754238886946,0.6630851880276285
Hakeem Olajuwon*,STL,0.7446711983168891,1.7463651050080775
Oscar Robertson*,STL,0.03157089529404565,0.07403846153846154
Dominique Wilkins*,STL,0.5471097422404738,1.2830540037243947
