player,team,height,weight
Antoine Wright,SAC,200.66,97.52228
Antonio Anderson,OKC,198.12,97.52228
Antonio Blakeney,CHI,193.04,87.089664
Antonio Burks,MEM,182.88,88.45044
Antonio Daniels,PHI,193.04,92.98636
Antonio Davis,TOR,205.74,111.13004
Antonio Harvey,ATL,210.82,113.398
Antonio Lang,PHI,203.2,92.98636
Antonio McDyess,SAS,205.74,111.13004
Antonis Fotsis,MEM,208.28,99.336648
Antonius Cleveland,DAL,195.58,88.45044
Anzejs Pasecniks,WAS,215.9,103.872568
Archie Goodwin,BKN,195.58,92.98636
Arinze Onuaku,ORL,205.74,115.66596
Armen Gilliam,UTA,205.74,117.93392
Armon Johnson,NJN,190.5,88.45044
Armoni Brooks,TOR,190.5,88.45044
Arnett Moultrie,PHI,208.28,108.86208
Arnoldas Kulboka,CHA,208.28,94.800728
Aron Baynes,TOR,208.28,117.93392
Arron Afflalo,ORL,195.58,95.25432
Art Long,TOR,205.74,113.398
Arvydas Macijauskas,NOK,193.04,97.068688
Arvydas Sabonis,POR,220.98,132.448864
Ashraf Amaya,WAS,203.2,104.32616
Ashton Hagans,MIN,190.5,86.18248
Austin Croshere,SAS,208.28,108.86208
Austin Daye,ATL,210.82,99.79024
Austin Reaves,LAL,195.58,89.357624
Austin Rivers,MIN,193.04,90.7184
Avery Bradley,LAL,190.5,81.64656
Avery Johnson,GSW,180.34,83.91452
Awvee Storey,MIL,198.12,102.0582
Axel Toupane,MIL,200.66,95.25432
Ayo Dosunmu,CHI,195.58,90.7184
B.J. Armstrong,CHI,187.96,83.91452
BJ Johnson,ORL,198.12,90.7184
Bam Adebayo,MIA,205.74,115.66596
Baron Davis,NYK,190.5,96.161504
Ben Bentil,DAL,205.74,106.59412
Ben Davis,PHX,205.74,111.13004
Ben Gordon,ORL,190.5,92.98636
Ben Handlogten,UTA,208.28,108.86208
Ben Hansbrough,IND,190.5,92.079176
Ben McLemore,POR,190.5,88.45044
Ben Moore,IND,203.2,99.79024
Ben Simmons,BKN,208.28,108.86208
Ben Uzoh,TOR,190.5,92.98636
Ben Wallace,DET,205.74,108.86208
Bennedict Mathurin,IND,195.58,95.25432
Beno Udrih,DET,190.5,92.98636
Benoit Benjamin,CLE,213.36,113.398
Bernard James,DAL,208.28,106.59412
Bernard Robinson,NJN,198.12,95.25432
Bill Curley,GSW,205.74,99.79024
Bill Wennington,SAC,213.36,111.13004
Billy Garrett,NYK,198.12,97.52228
Billy Owens,DET,203.2,99.79024
Billy Thomas,CLE,195.58,99.79024
Bimbo Coles,MIA,187.96,82.553744
Bismack Biyombo,PHX,203.2,115.66596
Bison Dele,DET,210.82,117.93392
Blake Ahearn,UTA,187.96,86.18248
Blake Griffin,BOS,205.74,113.398
Blake Wesley,SAS,193.04,83.91452
Blue Edwards,MIA,193.04,90.7184
Bo Outlaw,ORL,203.2,99.79024
Bob McCann,TOR,198.12,110.676448
Bob Sura,HOU,195.58,90.7184
Boban Marjanovic,HOU,223.52,131.54168
Bobby Brown,HOU,187.96,79.3786
Bobby Hurley,VAN,182.88,74.84268
Bobby Jackson,SAC,185.42,83.91452
Bobby Jones,DEN,200.66,97.52228
Bobby Phills,CHH,195.58,95.25432
Bobby Portis,MIL,210.82,113.398
Bobby Simmons,LAC,198.12,106.59412
Bogdan Bogdanovic,ATL,195.58,102.0582
Bojan Bogdanovic,DET,200.66,102.511792
Bol Bol,ORL,218.44,99.79024
Bones Hyland,LAC,187.96,76.657048
Boniface Ndong,LAC,213.36,92.98636
Bonzi Wells,NOH,195.58,95.25432
Bonzie Colson,MIL,198.12,102.0582
Boris Diaw,UTA,203.2,113.398
Bostjan Nachbar,NJN,205.74,100.243832
Bracey Wright,MIN,190.5,91.171992
Brad Lohaus,SAS,210.82,104.32616
Brad Miller,MIN,213.36,118.38751200000002
Brad Wanamaker,WAS,190.5,95.25432
Bradley Beal,WAS,193.04,93.893544
Brandan Wright,MEM,208.28,106.59412
Branden Dawson,LAC,198.12,102.0582
Brandin Knight,HOU,182.88,81.64656
Brandon Armstrong,NJN,195.58,83.91452
Brandon Bass,LAC,203.2,113.398
Brandon Boston,LAC,198.12,85.275296
Brandon Boston Jr.,LAC,198.12,85.275296
Brandon Clarke,MEM,203.2,97.52228
Brandon Davies,PHI,208.28,108.86208
Brandon Goodwin,CLE,182.88,81.64656
Brandon Hunter,ORL,200.66,120.655472
Brandon Ingram,NOP,203.2,86.18248
Brandon Jennings,MIL,185.42,77.11064
Brandon Knight,DAL,187.96,82.553744
Brandon Paul,SAS,193.04,90.7184
Brandon Roy,MIN,198.12,95.707912
Brandon Rush,MIN,198.12,102.0582
Brandon Sampson,CHI,195.58,83.46092800000001
Brandon Williams,POR,187.96,86.18248
Braxton Key,DET,203.2,102.0582
Brendan Haywood,CLE,213.36,119.294696
Brent Barry,HOU,200.66,95.25432
Brent Price,SAC,185.42,83.91452
Brent Scott,IND,208.28,113.398
Brett Szabo,BOS,210.82,104.32616
Brevin Knight,UTA,177.8,75.296272
Brian Bowen II,IND,198.12,86.18248
Brian Cardinal,DAL,203.2,108.86208
Brian Cook,WAS,205.74,113.398
Brian Evans,MIN,203.2,99.79024
Brian Grant,PHX,205.74,115.212368
Brian Oliver,ATL,193.04,95.25432
Brian Roberts,CHA,185.42,78.471416
Brian Scalabrine,CHI,205.74,106.59412
Brian Shaw,LAL,198.12,90.7184
Brian Skinner,MEM,205.74,115.66596
Briante Weber,MEM,187.96,74.84268
Brice Johnson,LAC,208.28,104.32616
Britton Johnsen,IND,208.28,95.25432
Brodric Thomas,BOS,195.58,83.91452
Brook Lopez,MIL,215.9,127.912944
Brooks Thompson,NYK,193.04,87.543256
Bruce Bowen,SAS,200.66,90.7184
Bruce Brown,DEN,193.04,91.625584
Bruno Caboclo,HOU,205.74,98.883056
Bruno Fernando,ATL,208.28,108.86208
Bruno Sundov,NYK,218.44,117.93392
Bryant Reeves,VAN,213.36,131.54168
Bryant Stith,CLE,195.58,95.25432
Bryce Cotton,MEM,185.42,74.84268
Bryce Dejean-Jones,NOP,198.12,92.079176
Bryce Drew,NOH,190.5,83.46092800000001
Bryce McGowens,CHA,198.12,79.3786
Bryn Forbes,MIN,187.96,92.98636
Bryon Russell,DEN,200.66,102.0582
Bubba Wells,DAL,195.58,104.32616
Buck Williams,NYK,203.2,102.0582
Buddy Boeheim,DET,198.12,92.98636
Buddy Hield,IND,193.04,99.79024
Byron Mullens,PHI,213.36,124.7378
Byron Scott,LAL,193.04,92.98636
C.J. Watson,ORL,187.96,79.3786
C.J. Williams,MIN,195.58,102.511792
CJ Elleby,POR,198.12,90.7184
CJ McCollum,NOP,190.5,86.18248
CJ Miles,BOS,198.12,99.79024
CJ Wilcox,ORL,195.58,88.45044
Cade Cunningham,DET,200.66,99.79024
Cal Bowdler,ATL,208.28,114.758776
Calbert Cheaney,GSW,200.66,95.25432
Caleb Houstan,ORL,203.2,92.98636
Caleb Martin,MIA,195.58,92.98636
Caleb Swanigan,POR,205.74,117.93392
Calvin Booth,SAC,210.82,104.32616
Cam Reddish,POR,200.66,98.429464
Cam Thomas,BKN,190.5,95.25432
Cameron Bairstow,DET,205.74,113.398
Cameron Johnson,BKN,203.2,95.25432
Cameron McGriff,POR,200.66,99.79024
Cameron Oliver,ATL,203.2,108.408488
Cameron Payne,PHX,185.42,83.007336
Cameron Reynolds,HOU,200.66,102.0582
Caris LeVert,CLE,198.12,92.98636
Carl Herrera,DEN,205.74,102.0582
Carl Landry,PHI,205.74,112.490816
Carl Thomas,CLE,193.04,88.45044
Carldell Johnson,NOH,177.8,81.64656
